bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
4,4.0,2068,28532,1.5,0,4,5,4076,129,1988,0,1041120
5,2.2,4500,35349,1.8,0,1,3,3780,1766,1984,0,1105675
3,3.4,5552,46445,1.0,1,3,5,919,837,1914,1990,1872550
5,3.4,3238,6713,1.6,1,0,2,990,1168,1964,0,1517223
5,1.5,3998,57178,1.4,1,1,3,1450,890,1975,0,630780
2,2.5,5887,50407,1.7,1,0,2,4033,1880,1970,2000,1195298
3,3.1,5787,71340,1.2,0,4,1,4844,27,1914,0,1015188
3,3.6,4413,51990,2.8,0,0,2,1359,65,1920,0,604399
3,2.0,1566,76672,2.2,0,1,1,1092,1186,1918,2010,113936
5,1.7,4880,66545,2.4,0,3,1,4299,1252,1959,1990,1776550
4,3.1,2944,85791,2.6,1,4,2,4873,260,1992,0,273332
3,3.4,4607,59141,2.0,0,1,3,3346,1472,1988,0,775836
5,2.0,3873,24793,1.2,0,4,5,926,1447,1932,0,1871895
2,1.3,4469,57570,2.1,1,2,5,3624,459,1948,0,1421640
4,3.8,3046,96084,2.2,1,0,1,2653,1975,1995,0,537510
2,2.2,1253,38892,2.5,1,2,1,3744,1699,2012,0,113530
4,2.6,2582,2015,1.9,1,1,3,4365,300,1934,0,1528016
5,3.5,3274,62813,1.3,0,3,4,5755,918,1943,0,1368508
1,3.0,3396,28712,1.6,0,4,2,2275,1326,2001,2000,1650946
4,3.2,4685,9415,1.7,1,0,1,2163,286,1989,0,1712434
2,1.6,1275,63292,2.3,0,4,5,920,1418,1910,0,1723879
5,2.6,2125,24833,2.1,0,1,3,1416,1033,1998,0,1830752
4,3.1,3569,5158,1.7,0,4,2,5509,1730,1971,0,1968596
1,1.7,917,63680,3.0,1,0,3,516,629,2009,0,1246179
1,1.5,614,21309,2.2,0,1,2,2833,269,1977,0,924772
3,3.9,1116,7970,1.5,1,4,2,5863,591,1973,0,1717303
3,2.5,4474,73474,1.2,0,3,1,983,1993,1965,0,1012361
2,1.8,3767,87704,1.3,0,1,3,794,1628,1945,0,191214
4,4.0,1325,47540,1.5,0,1,3,5583,1801,1908,0,689341
4,3.9,2016,21384,1.3,1,3,5,4188,843,1902,0,1671219
3,2.7,3646,19017,1.4,0,2,5,3168,861,1984,0,453082
4,3.6,912,76880,1.6,1,0,1,4567,1384,1925,2020,251139
4,1.6,1228,9702,1.3,1,2,1,4260,1280,1971,0,1078494
1,1.8,3848,1384,2.8,1,4,4,673,132,1947,0,1857570
3,3.1,3308,1404,1.2,0,3,5,2413,1299,1965,0,1071318
5,3.5,1175,41943,2.0,0,2,2,5839,1799,1969,0,699714
3,3.6,3965,48926,1.8,0,1,3,4833,1706,1927,2020,638315
5,2.2,3004,30189,3.0,0,4,1,1789,971,2016,0,1549698
1,3.7,3467,13763,1.2,1,4,3,3966,512,1992,1990,1257786
2,3.6,3286,19384,1.8,1,2,3,5102,312,1925,0,142601
4,3.8,1622,61100,2.9,1,2,4,565,575,1924,0,1128532
1,3.4,4579,99142,2.7,0,3,5,1967,885,1911,0,1336916
4,3.0,2071,10860,2.6,1,0,1,5820,1307,1904,2000,679085
2,2.7,5573,81642,1.5,0,2,3,1128,1144,1997,0,962735
2,2.1,5604,51612,1.3,1,2,1,2443,1130,1947,0,1568087
1,3.8,2643,24574,2.3,0,1,2,4597,1956,1936,2020,1759375
2,3.9,2187,24524,2.9,0,4,4,3896,686,1978,0,1927541
5,1.9,4632,70172,2.1,1,0,2,5911,1227,1943,0,471486
2,1.9,4351,11916,2.1,1,1,1,1178,164,1999,0,653103
4,2.5,3940,5809,1.6,1,3,1,613,304,1914,2020,89279
4,2.3,4266,33201,2.5,1,3,5,4162,1520,1942,0,421931
4,4.0,2826,54330,1.4,0,2,3,5607,1655,1947,1990,198702
4,1.5,3414,14456,1.6,1,2,3,1976,1579,1986,1990,1159639
5,1.1,5468,57397,1.9,1,3,2,2848,1847,1969,0,823887
3,2.5,5892,39765,2.0,1,2,4,3336,155,1945,0,1352887
1,1.5,4452,35816,1.5,0,0,3,3517,1390,2013,0,702184
4,2.1,1095,46106,1.2,0,2,5,991,1742,2007,0,1789080
2,3.2,1228,54932,2.2,1,4,2,5829,1925,1942,1990,495377
4,3.2,1865,18100,1.6,0,2,2,5605,619,2008,2000,1588510
2,1.9,4992,58091,2.2,1,1,5,3120,1274,1920,0,569089
2,2.6,1198,22949,1.3,0,0,4,1113,956,1922,0,796434
4,2.5,895,71080,2.0,0,1,5,1335,1939,2006,0,1307008
5,2.9,4671,38744,2.1,0,1,4,4737,1905,2018,0,232051
2,1.8,4860,46543,1.1,0,4,5,401,333,1979,0,1196237
2,2.8,3002,93193,1.7,1,0,5,3248,1665,1946,0,993693
4,3.9,2319,37187,1.3,1,0,1,4444,968,2016,0,1796536
2,2.5,1217,8239,1.1,1,0,2,2349,510,1914,0,1551352
2,3.7,3282,15489,3.0,0,0,5,1317,1316,1924,0,1569832
4,2.3,5446,59017,1.6,1,0,5,3574,1043,1935,0,173257
4,2.1,4077,62877,2.6,1,4,3,2641,281,1974,0,1029062
1,2.9,5986,44125,1.5,1,2,2,489,796,1950,2000,1971213
5,3.0,643,50922,2.4,0,1,3,2109,1024,1914,0,1367630
5,3.6,5480,95074,2.5,0,0,2,2569,118,1967,2010,1025217
2,1.7,3640,33049,2.2,0,2,3,4638,1058,1920,2000,1931865
5,2.5,4991,38131,1.9,1,2,5,3441,197,1912,0,1657828
2,2.7,3438,43944,1.8,1,1,5,505,484,1985,1990,1053171
1,3.3,4136,74963,1.7,1,4,1,1286,1780,1918,0,1517019
4,1.1,3722,25285,2.9,0,3,3,827,1082,1933,0,973482
4,4.0,1667,38626,2.7,0,3,4,5824,836,1977,0,853585
4,2.4,3116,43808,2.9,1,2,1,2295,1184,1967,0,1420485
5,1.8,1562,89464,1.2,0,1,3,716,1008,2011,0,804444
1,3.7,2656,54871,2.5,0,3,3,1034,690,2016,0,1731076
5,3.2,5661,20198,2.9,0,2,1,2325,1229,1951,0,1661935
5,3.9,5805,20758,1.4,0,4,5,2456,1035,2009,0,162990
1,2.0,3482,16254,1.1,1,3,3,3544,489,1926,0,1168095
1,2.7,3794,45238,2.5,0,2,5,2670,275,1928,1990,1108079
1,2.7,5229,2252,2.1,0,2,1,1839,692,2010,0,1290351
1,3.9,1656,40764,2.7,0,0,5,952,241,1927,0,1031883
4,1.2,5834,78709,1.3,0,4,2,1115,1239,1934,2000,1718321
3,1.9,1232,38441,2.6,1,0,4,5783,1274,1907,0,763226
3,1.6,4830,93234,1.4,1,1,3,4311,1834,1915,0,1246553
1,1.8,5346,54682,1.3,0,0,4,2113,125,2005,0,1668702
3,2.5,1453,60494,1.3,0,0,5,3789,216,1935,0,1550071
3,2.1,3039,82317,2.6,0,3,3,1507,1329,1929,2020,1712353
1,2.2,3824,66215,2.3,0,2,5,5837,1820,1917,0,76806
3,3.5,3801,79587,2.0,0,4,2,4606,1208,1901,2010,1274648
5,3.8,2042,7949,1.7,0,0,1,650,1062,1948,0,465384
2,1.2,5793,56393,2.8,1,4,3,2830,1246,1976,0,120119
2,1.6,1691,74553,1.8,0,0,2,2454,1207,1903,0,1923722
1,3.0,3493,7941,2.6,1,1,2,858,494,1989,0,1283741
4,2.1,3181,26934,1.9,1,0,3,5603,426,1988,0,1940427
1,1.8,1717,24386,1.8,0,3,5,607,1201,1993,2000,679720
4,1.9,2040,62886,1.9,1,2,2,1299,918,1974,2000,520641
2,2.0,3736,76745,1.6,1,1,4,3861,1451,1906,0,929381
1,3.5,2886,84251,2.5,1,0,2,3785,1317,1994,2020,1569603
5,1.4,4219,95456,2.0,1,4,5,421,1875,2007,2000,457507
3,3.1,1888,54413,1.5,1,1,5,809,150,1973,0,1800740
4,2.7,2356,57800,2.8,1,1,4,1294,383,1938,0,913403
3,1.9,1865,98239,1.8,0,0,2,914,1661,1912,0,929903
3,2.3,999,43318,2.1,1,1,5,5304,1836,1930,0,1949954
1,1.8,2180,71173,2.8,1,4,3,5369,307,1970,0,935421
3,2.8,1010,71390,2.2,1,1,1,4509,1359,1962,0,134080
5,1.2,4812,53329,1.2,0,4,1,5466,1969,1955,1990,1351367
3,1.0,1824,44088,2.9,1,0,1,2534,745,2012,0,1028836
1,2.9,1655,40811,2.3,0,2,2,3995,891,1941,0,1176370
5,1.6,2327,56479,1.7,1,1,4,3356,374,1960,2010,342985
2,1.2,3641,86392,1.3,0,2,5,1960,1031,1941,2000,174447
3,2.2,3986,88369,2.6,0,4,3,5820,1364,1955,0,170029
1,1.2,2310,20963,2.2,1,1,3,1666,128,1935,2000,229830
2,3.7,3423,56123,2.1,1,3,2,2569,1014,1983,0,1606518
2,1.1,5801,93705,2.8,0,2,1,4038,1799,1967,0,1436992
4,2.7,2714,74477,2.6,1,1,2,1149,668,2017,0,611931
5,2.3,4686,15388,1.3,0,2,4,3827,1375,1906,0,356094
3,3.0,1213,6569,1.6,0,1,4,5180,1381,1953,0,1286497
1,2.0,4102,70836,1.5,0,0,5,2327,516,1900,0,1461220
4,1.5,4634,37586,2.5,0,2,5,4204,1518,1943,0,733404
5,3.9,4022,13015,1.1,0,3,4,4102,85,2019,0,1597261
4,3.5,4768,46002,2.1,1,3,4,2756,1198,1944,0,437732
5,3.6,5248,7254,2.5,0,4,4,5190,1825,2005,1990,1638861
5,1.8,5349,18144,2.8,0,1,2,2735,1216,1946,0,916183
3,1.1,1743,25214,1.7,1,2,4,706,310,1912,0,672893
5,1.9,4209,81719,2.6,0,4,3,4065,1142,2018,0,891965
4,2.6,1581,72774,1.2,1,2,1,2389,1241,1921,0,394710
5,2.0,955,7090,2.7,1,1,4,1061,426,2017,0,1848806
3,3.5,5424,12637,1.3,1,3,1,5044,1993,1920,1990,1768507
3,1.8,1394,23415,1.8,0,0,2,711,1437,1985,0,682543
4,3.9,1884,25071,2.6,0,3,1,3320,113,1991,0,834586
2,2.4,2458,59243,1.3,0,4,2,1482,1168,1908,0,1061967
2,3.5,3572,42240,1.5,1,0,3,3371,1561,1925,0,501157
5,1.6,2496,84807,2.4,0,4,2,1154,1671,1908,0,1156581
1,2.2,4785,34434,2.4,1,1,2,4530,302,1914,0,1315898
5,3.1,1004,70724,2.3,0,0,5,4940,743,1909,0,1288360
4,1.4,1714,76697,2.4,1,4,4,5726,1904,1987,0,1666405
4,1.4,2031,29732,2.1,0,1,4,752,587,2020,0,73387
4,3.9,3940,12314,1.5,0,3,3,1302,986,1941,0,930412
4,3.1,1323,24954,1.7,0,1,3,5851,1863,1971,2000,1802844
4,1.1,1428,58108,1.4,1,2,4,4288,344,1923,1990,1184033
3,2.2,5529,88044,2.8,1,1,5,558,813,1979,1990,194129
2,2.3,5736,88505,2.2,0,1,4,2377,1987,1948,0,1686892
4,3.2,633,37668,1.8,0,2,5,1356,800,1925,0,1078308
1,1.8,2605,24061,1.9,1,4,3,2471,1024,1990,0,1742110
1,1.6,4127,80252,2.9,1,4,1,803,1170,1936,0,367875
