Age,Experience,Salary
50,0,42646
36,34,135075
29,13,63708
42,2,44371
40,0,32835
44,4,48168
32,25,94049
32,13,61423
45,26,116089
57,8,60658
45,14,75748
24,14,62400
43,25,107374
23,12,63651
45,31,135139
51,31,120654
59,3,43999
23,29,105795
42,22,100183
54,14,82874
33,28,119532
43,12,64039
46,31,126637
48,6,58586
49,21,91057
37,27,106092
36,1,38482
24,5,30200
58,27,125172
28,27,98961
42,19,93207
30,29,114969
39,10,53369
25,27,111840
46,24,109992
35,32,120199
30,0,19987
47,26,115946
23,12,49718
41,2,32235
49,5,51796
28,7,40555
29,26,102646
56,8,61050
35,32,127257
38,23,106429
57,14,78393
25,31,124577
23,31,119873
27,23,98065
25,11,49936
50,1,37754
39,2,37177
47,16,78395
55,1,48109
31,1,35136
57,27,117522
35,22,93651
52,31,125600
36,32,122996
29,0,24507
35,18,85446
44,1,30642
42,25,108312
37,31,120179
39,5,43708
45,31,135089
47,3,44216
46,10,71453
50,16,77444
36,23,98757
22,4,38434
46,33,124060
28,5,48711
30,21,82420
45,10,53801
22,15,69468
29,32,128490
45,8,48199
32,5,32190
38,15,75492
29,28,116864
56,2,37975
56,19,92102
54,18,99568
26,25,90816
49,2,32069
28,18,74442
30,19,74895
29,31,112363
33,6,48413
55,32,131955
54,17,83014
44,0,34093
45,10,71570
58,27,114009
56,24,117538
43,22,99229
48,30,116409
56,29,128249
